Tenure,Age,Category,Gender,Department,Dept_Ratio,Amount,Class
661,23,2,0,14,0.124,20.1415,Non-active
767,21,2,1,33,0.155,20.1415,Non-active
185,24,2,0,11,0.096,20.1415,Non-active
745,29,2,1,14,0.124,20.1415,Non-active
1317,43,2,1,11,0.096,20.1415,Non-active
1567,25,2,1,22,0.016,20.1415,Non-active
1708,33,1,0,4,0.027,36.1483,Active
614,21,2,1,14,0.124,20.1415,Non-active
638,23,2,0,14,0.124,20.1415,Non-active
210,22,2,1,28,0.046,20.1415,Non-active
69,20,2,1,5,0.05,20.1415,Non-active
1479,23,2,1,33,0.155,20.1415,Non-active
78,25,2,1,29,0.195,20.1415,Non-active
1692,24,2,1,33,0.155,20.1415,Active
221,49,2,1,22,0.016,20.1415,Non-active
83,24,2,1,33,0.155,20.1415,Non-active
73,30,2,1,29,0.195,20.1415,Non-active
203,23,2,1,27,0.012,20.1415,Non-active
58,25,2,1,37,0.099,21.3228,Non-active
205,23,2,0,37,0.099,21.3228,Non-active
140,57,2,1,33,0.155,20.1415,Non-active
186,21,2,1,37,0.099,21.3228,Non-active
196,26,2,0,33,0.155,20.1415,Non-active
125,26,2,0,39,0.13,25.1385,Non-active
2438,62,0,0,33,0.155,29.6865,Active
347,25,0,0,15,0.031,18.29,Non-active
347,22,0,1,15,0.031,18.29,Non-active
347,23,0,0,15,0.031,18.29,Non-active
347,22,1,0,9,0.02,18.29,Non-active
347,20,1,1,20,0.017,18.29,Non-active
729,23,1,1,41,0.027,18.29,Non-active
144,22,1,1,41,0.027,18.29,Non-active
729,28,0,1,15,0.031,18.29,Non-active
347,23,1,0,41,0.027,18.29,Non-active
347,22,1,1,9,0.02,18.29,Non-active
229,24,2,1,21,0.014,24.197,Non-active
1249,56,0,0,16,0.011,62.672,Non-active
67,27,2,0,37,0.099,25.1385,Non-active
361,42,0,1,24,0.011,45.167,Non-active
2802,32,0,0,8,0.015,36.1483,Active
1271,27,0,1,30,0.025,30.3363,Non-active
289,41,1,1,27,0.012,27.5888,Non-active
138,21,2,1,14,0.124,20.1415,Non-active
352,21,2,1,14,0.124,20.1415,Non-active
441,22,2,1,14,0.124,20.1415,Non-active
784,20,2,1,33,0.155,20.1415,Non-active
263,23,2,1,33,0.155,20.1415,Non-active
784,22,2,1,33,0.155,20.1415,Non-active
379,35,2,1,29,0.195,20.1415,Non-active
900,29,2,0,33,0.155,20.1415,Non-active
784,24,2,1,33,0.155,20.1415,Non-active
254,23,2,1,28,0.046,20.1415,Non-active
1309,30,0,1,17,0.03,32.2736,Non-active
82,28,2,1,1,0.019,20.1415,Non-active
9,32,2,1,38,0.012,25.1385,Non-active
776,21,2,0,14,0.124,20.1415,Non-active
131,22,2,1,14,0.124,20.1415,Non-active
726,25,2,1,39,0.13,22.008,Non-active
1461,24,2,1,39,0.13,21.3228,Non-active
726,26,2,0,39,0.13,21.3228,Non-active
1506,23,2,0,39,0.13,21.3228,Active
82,23,2,1,39,0.13,21.3228,Non-active
596,19,2,1,37,0.099,22.008,Non-active
39,26,2,1,37,0.099,21.3228,Non-active
1463,25,2,0,28,0.046,20.1415,Non-active
1299,22,1,1,5,0.05,21.3228,Non-active
436,20,2,1,29,0.195,20.1415,Non-active
436,21,2,1,14,0.124,20.1415,Non-active
837,21,2,1,14,0.124,21.1293,Non-active
370,32,2,1,33,0.155,20.1415,Non-active
437,30,2,1,39,0.13,21.3228,Non-active
346,20,2,1,37,0.099,21.3228,Non-active
1469,23,2,1,37,0.099,21.3228,Non-active
580,20,2,1,28,0.046,20.1415,Non-active
35,34,0,0,11,0.096,25.1385,Non-active
73,21,2,1,5,0.05,20.1415,Non-active
346,19,2,0,37,0.099,21.3228,Non-active
3899,37,0,1,38,0.012,36.1483,Active
25,29,2,1,29,0.195,20.1415,Non-active
1361,54,0,0,8,0.015,62.672,Non-active
434,27,2,1,29,0.195,21.1293,Non-active
123,33,1,1,4,0.027,31.6357,Non-active
562,31,2,1,11,0.096,20.1415,Non-active
143,33,2,0,11,0.096,20.1415,Non-active
1243,47,0,0,39,0.13,32.2736,Non-active
425,35,2,1,27,0.012,21.1293,Non-active
60,22,2,0,5,0.05,20.1415,Non-active
152,28,2,0,38,0.012,25.1385,Non-active
400,22,2,1,29,0.195,20.1415,Non-active
219,20,2,1,29,0.195,20.1415,Non-active
3398,28,2,0,40,0.009,21.3228,Non-active
179,36,2,0,33,0.155,20.1415,Non-active
329,39,2,0,11,0.096,20.1415,Non-active
395,25,2,1,12,0.005,20.719,Non-active
392,23,2,0,29,0.195,20.1415,Non-active
53,21,2,0,11,0.096,20.1415,Non-active
209,30,2,0,33,0.155,23.4324,Non-active
181,33,2,0,29,0.195,20.1415,Non-active
1057,30,2,1,5,0.05,21.1293,Non-active
879,25,0,1,4,0.027,26.8277,Non-active
467,26,2,1,5,0.05,20.1415,Non-active
506,36,2,0,33,0.155,20.1415,Non-active
144,27,0,0,39,0.13,23.3901,Non-active
582,22,1,1,41,0.027,18.29,Non-active
261,20,2,0,39,0.13,21.3228,Non-active
492,24,2,0,33,0.155,20.1415,Non-active
492,25,2,0,33,0.155,20.1415,Non-active
2242,26,2,1,38,0.012,22.008,Active
413,25,2,1,29,0.195,20.1415,Non-active
599,53,0,1,4,0.027,36.1483,Non-active
4,24,2,1,33,0.155,20.1415,Non-active
655,33,0,1,4,0.027,33.5613,Non-active
1096,28,1,1,15,0.031,29.6865,Non-active
197,36,2,0,11,0.096,20.1415,Non-active
619,41,2,0,11,0.096,20.1415,Non-active
191,24,2,1,14,0.124,20.1415,Non-active
97,22,2,1,14,0.124,20.1415,Non-active
176,21,2,1,14,0.124,20.1415,Non-active
284,26,2,1,29,0.195,20.1415,Non-active
282,33,2,1,29,0.195,21.1293,Non-active
743,26,0,1,3,0.006,25.8709,Non-active
34,23,2,0,14,0.124,20.1415,Non-active
570,23,2,1,39,0.13,21.3228,Non-active
951,21,2,1,39,0.13,21.3228,Non-active
3,19,2,0,33,0.155,20.1415,Non-active
734,23,2,1,14,0.124,20.1415,Non-active
426,25,2,1,39,0.13,21.3228,Non-active
1083,26,2,1,33,0.155,20.1415,Non-active
188,23,2,1,37,0.099,21.3228,Non-active
182,36,2,0,11,0.096,20.1415,Non-active
1179,29,2,1,11,0.096,20.1415,Non-active
249,57,0,0,29,0.195,30.3363,Non-active
2333,41,0,1,16,0.011,39.3733,Active
928,21,2,1,34,0.005,20.1415,Non-active
40,23,2,0,33,0.155,20.1415,Non-active
1551,50,0,0,29,0.195,36.1483,Non-active
339,29,2,0,11,0.096,20.1415,Non-active
199,27,2,0,33,0.155,20.1415,Non-active
2698,24,2,0,11,0.096,20.1415,Non-active
699,41,2,0,14,0.124,20.1415,Active
263,44,2,0,11,0.096,20.1415,Non-active
379,23,0,0,15,0.031,18.29,Non-active
379,24,1,1,9,0.02,18.29,Non-active
379,27,1,0,9,0.02,18.29,Non-active
379,25,1,1,20,0.017,18.29,Non-active
379,22,1,1,42,0.017,18.29,Non-active
379,26,1,0,41,0.027,18.29,Non-active
379,23,1,1,42,0.017,18.29,Non-active
321,24,1,1,20,0.017,18.29,Non-active
379,21,0,0,15,0.031,18.29,Non-active
379,22,1,0,41,0.027,18.29,Non-active
1219,41,2,0,11,0.096,20.1415,Active
379,22,1,1,41,0.027,18.29,Non-active
379,24,1,1,41,0.027,18.29,Non-active
351,25,1,0,41,0.027,18.29,Non-active
75,33,2,1,29,0.195,21.1293,Non-active
995,45,0,1,24,0.011,45.167,Non-active
537,25,2,1,29,0.195,20.1415,Non-active
789,21,2,1,29,0.195,20.1415,Non-active
309,22,1,1,41,0.027,18.29,Non-active
1149,49,0,1,29,0.195,25.1385,Active
78,22,2,0,29,0.195,20.1415,Non-active
374,21,2,1,29,0.195,20.1415,Non-active
1108,35,2,1,29,0.195,20.1415,Non-active
1109,21,2,0,29,0.195,20.1415,Non-active
132,20,2,1,29,0.195,20.1415,Non-active
230,21,2,1,29,0.195,20.1415,Non-active
181,25,2,0,29,0.195,20.1415,Non-active
535,21,2,1,29,0.195,20.1415,Non-active
834,28,0,1,37,0.099,29.6865,Non-active
415,22,2,1,28,0.046,20.1415,Non-active
18,24,2,1,29,0.195,20.1415,Non-active
574,20,2,1,1,0.019,20.1415,Non-active
218,23,2,0,29,0.195,20.1415,Non-active
542,25,2,1,39,0.13,21.3228,Non-active
1147,26,2,1,1,0.019,20.1415,Active
1147,22,2,1,28,0.046,20.1415,Active
1146,22,2,1,37,0.099,21.3228,Active
1146,23,2,1,39,0.13,21.3228,Active
156,24,2,1,37,0.099,21.3228,Non-active
1146,25,2,0,33,0.155,20.1415,Active
1146,26,2,0,11,0.096,20.1415,Active
147,22,2,1,14,0.124,20.1415,Non-active
1143,57,0,1,29,0.195,37.436,Active
942,30,2,1,14,0.124,20.1415,Non-active
61,19,2,1,14,0.124,20.1415,Non-active
786,22,2,0,37,0.099,22.008,Non-active
944,22,2,1,19,0.01,21.3228,Non-active
220,24,2,1,37,0.099,21.3228,Non-active
888,20,2,0,37,0.099,21.3228,Non-active
943,45,2,1,33,0.155,20.1415,Non-active
271,43,2,1,33,0.155,20.1415,Non-active
566,21,2,1,33,0.155,20.1415,Non-active
979,21,2,0,33,0.155,20.1415,Non-active
212,26,2,1,33,0.155,20.1415,Non-active
1141,23,2,1,33,0.155,20.1415,Active
1141,24,2,0,33,0.155,20.1415,Active
408,35,2,0,14,0.124,20.1415,Non-active
867,23,2,1,1,0.019,20.3926,Non-active
1135,25,2,0,33,0.155,23.4324,Active
262,35,2,1,8,0.015,20.719,Non-active
900,23,2,1,29,0.195,20.1415,Non-active
1086,23,2,0,29,0.195,20.1415,Non-active
1081,21,2,1,5,0.05,20.1415,Non-active
1122,29,2,1,5,0.05,21.1293,Active
1511,34,0,0,36,0.011,25.1385,Active
0,19,2,1,32,0.001,20.1415,Non-active
118,24,2,1,33,0.155,20.1415,Non-active
373,20,2,1,33,0.155,20.1415,Non-active
830,27,0,1,30,0.025,36.1483,Non-active
157,26,2,0,29,0.195,20.1415,Non-active
466,27,2,0,29,0.195,24.197,Non-active
150,20,2,0,33,0.155,20.1415,Non-active
232,27,1,0,25,0.004,18.29,Non-active
232,32,1,0,35,0.002,18.29,Non-active
1066,56,2,0,10,0.011,26.6492,Active
1063,44,2,1,14,0.124,20.1415,Active
329,26,2,0,14,0.124,20.1415,Non-active
464,21,2,1,37,0.099,21.3228,Non-active
317,22,2,1,28,0.046,20.1415,Non-active
607,20,2,1,14,0.124,21.1293,Non-active
907,46,0,0,29,0.195,36.1483,Non-active
529,26,0,1,30,0.025,26.8277,Non-active
240,31,2,0,29,0.195,20.1415,Non-active
258,41,2,1,4,0.027,31.6357,Non-active
523,33,2,0,11,0.096,20.1415,Active
377,31,2,0,11,0.096,20.1415,Non-active
377,25,2,0,29,0.195,20.1415,Non-active
989,22,2,1,14,0.124,21.1293,Active
261,25,2,1,14,0.124,20.1415,Non-active
986,23,2,1,14,0.124,20.1415,Active
58,25,2,1,14,0.124,20.1415,Active
55,29,2,1,14,0.124,20.1415,Non-active
210,26,2,0,29,0.195,20.1415,Non-active
110,22,2,1,14,0.124,20.1415,Non-active
832,23,2,0,5,0.05,20.1415,Non-active
493,20,2,1,14,0.124,20.1415,Non-active
509,26,2,0,39,0.13,21.3228,Non-active
574,26,2,1,37,0.099,21.3228,Non-active
574,41,2,0,29,0.195,20.1415,Non-active
510,25,2,1,39,0.13,21.3228,Non-active
349,33,2,0,29,0.195,20.1415,Non-active
566,28,2,1,11,0.096,20.1415,Non-active
25,28,1,0,14,0.124,24.197,Non-active
744,41,2,0,11,0.096,20.1415,Non-active
297,27,2,1,14,0.124,20.1415,Non-active
13,20,2,1,14,0.124,20.1415,Non-active
1505,28,0,1,33,0.155,25.1385,Active
353,22,0,0,15,0.031,18.29,Non-active
353,23,0,1,15,0.031,18.29,Non-active
717,24,0,1,15,0.031,18.29,Non-active
353,23,1,0,9,0.02,18.29,Non-active
353,24,1,1,9,0.02,18.29,Non-active
353,23,1,1,20,0.017,18.29,Non-active
352,21,1,0,42,0.017,18.29,Non-active
79,28,1,0,35,0.002,18.29,Non-active
352,23,1,0,41,0.027,18.29,Non-active
352,23,1,1,42,0.017,18.29,Non-active
79,24,1,1,25,0.004,18.29,Non-active
695,21,1,1,20,0.017,18.29,Non-active
141,32,1,0,2,0.005,18.29,Non-active
141,31,1,1,2,0.005,18.29,Non-active
690,24,1,1,9,0.02,18.29,Non-active
807,24,0,1,30,0.025,29.6865,Active
793,21,2,1,37,0.099,23.3901,Active
314,20,2,1,34,0.005,20.1415,Non-active
208,21,2,1,39,0.13,21.3228,Active
601,39,2,1,29,0.195,20.1415,Non-active
524,33,2,1,14,0.124,22.2272,Non-active
641,25,1,1,41,0.027,18.29,Non-active
786,21,2,1,37,0.099,21.3228,Active
786,21,2,1,37,0.099,21.3228,Active
1007,27,2,1,5,0.05,21.3228,Non-active
786,21,2,1,37,0.099,21.3228,Active
786,22,2,1,39,0.13,21.3228,Active
786,22,2,1,37,0.099,21.3228,Active
306,22,2,1,29,0.195,21.1293,Non-active
138,26,2,0,29,0.195,20.1415,Non-active
317,22,2,1,29,0.195,20.1415,Active
51,20,2,1,14,0.124,20.1415,Non-active
173,20,2,1,33,0.155,20.1415,Non-active
784,29,2,0,29,0.195,21.8659,Active
116,22,2,1,33,0.155,20.1415,Non-active
585,21,2,0,33,0.155,20.1415,Non-active
743,23,2,1,29,0.195,20.1415,Non-active
302,24,2,1,14,0.124,20.1415,Non-active
386,20,2,0,33,0.155,20.1415,Non-active
783,20,2,1,29,0.195,20.1415,Active
725,21,2,1,39,0.13,21.3228,Non-active
777,29,2,1,33,0.155,20.7097,Active
779,23,2,0,37,0.099,21.3228,Active
219,22,2,1,39,0.13,21.3228,Active
378,23,2,1,33,0.155,20.1415,Non-active
524,23,2,0,39,0.13,21.3228,Non-active
775,36,2,0,11,0.096,20.1415,Active
137,19,2,1,39,0.13,21.3228,Non-active
321,21,2,1,39,0.13,21.3228,Non-active
245,33,2,0,11,0.096,20.1415,Non-active
577,21,2,1,33,0.155,20.1415,Non-active
775,51,2,1,10,0.011,26.6492,Active
32,30,0,1,4,0.027,34.8607,Non-active
37,22,2,0,14,0.124,20.1415,Non-active
758,35,2,1,11,0.096,20.1415,Active
277,22,1,1,41,0.027,18.29,Non-active
620,20,1,1,41,0.027,18.29,Non-active
277,20,1,1,41,0.027,18.29,Non-active
277,24,1,0,20,0.017,18.29,Non-active
176,22,2,1,28,0.046,20.1415,Non-active
445,23,2,1,12,0.005,20.719,Non-active
371,31,2,0,29,0.195,22.2272,Non-active
172,23,1,0,41,0.027,18.29,Non-active
192,29,2,0,11,0.096,20.1415,Non-active
492,23,2,1,33,0.155,20.1415,Non-active
744,43,1,1,18,0.002,33.5613,Active
75,40,2,1,14,0.124,20.1415,Non-active
736,56,0,1,4,0.027,34.8607,Active
717,27,2,0,14,0.124,20.3926,Non-active
81,22,2,1,14,0.124,20.1415,Non-active
714,33,0,0,13,0.006,42.5983,Active
91,24,2,0,14,0.124,20.1415,Non-active
404,23,2,1,14,0.124,20.1415,Non-active
3535,33,2,1,39,0.13,21.3228,Active
695,30,0,0,4,0.027,34.8607,Active
680,51,0,1,4,0.027,40.342,Active
388,33,0,1,4,0.027,27.7728,Non-active
623,21,2,1,14,0.124,20.1415,Active
141,21,2,1,14,0.124,20.1415,Non-active
623,21,2,1,28,0.046,20.1415,Active
144,20,2,0,28,0.046,20.1415,Non-active
623,21,2,0,33,0.155,20.1415,Active
143,21,2,1,28,0.046,20.1415,Non-active
143,27,2,1,28,0.046,20.1415,Non-active
507,22,2,0,11,0.096,20.1415,Non-active
622,19,2,1,29,0.195,20.1415,Active
184,24,0,1,4,0.027,27.7728,Non-active
155,24,2,0,11,0.096,20.1415,Active
590,37,1,0,4,0.027,33.5613,Active
320,30,2,1,33,0.155,20.1415,Non-active
493,29,2,1,5,0.05,20.1415,Non-active
580,22,2,1,37,0.099,21.3228,Active
372,21,2,0,29,0.195,20.1415,Non-active
187,24,2,1,29,0.195,20.1415,Non-active
331,22,2,1,37,0.099,21.3228,Non-active
320,23,2,1,37,0.099,21.3228,Non-active
176,27,2,1,39,0.13,21.3228,Non-active
573,21,2,1,39,0.13,21.3228,Active
502,20,2,1,11,0.096,20.1415,Active
492,54,0,0,8,0.015,79.3269,Active
455,24,0,0,30,0.025,26.8277,Non-active
361,22,0,0,15,0.031,18.29,Non-active
319,20,1,0,42,0.017,18.29,Non-active
361,21,1,1,42,0.017,18.29,Non-active
340,20,1,1,41,0.027,18.29,Non-active
349,22,0,0,15,0.031,18.29,Non-active
361,22,1,1,9,0.02,18.29,Non-active
361,24,1,0,20,0.017,18.29,Non-active
445,24,0,1,30,0.025,26.8277,Non-active
56,18,2,1,29,0.195,20.1415,Non-active
386,26,2,1,29,0.195,20.1415,Non-active
427,21,2,1,29,0.195,20.1415,Active
427,21,2,1,29,0.195,20.1415,Active
386,20,2,1,29,0.195,20.1415,Non-active
230,24,2,1,37,0.099,21.3228,Non-active
429,21,2,0,39,0.13,21.3228,Active
429,23,2,0,39,0.13,21.3228,Active
174,19,2,0,39,0.13,21.3228,Non-active
42,21,2,1,37,0.099,21.3228,Non-active
426,18,2,1,39,0.13,21.3228,Active
426,22,2,1,39,0.13,21.3228,Active
426,22,2,0,37,0.099,21.3228,Active
426,22,2,1,39,0.13,21.3228,Active
227,22,2,1,37,0.099,21.3228,Non-active
429,22,2,1,39,0.13,21.3228,Active
72,25,2,1,14,0.124,20.1415,Non-active
71,20,2,1,14,0.124,20.1415,Non-active
71,22,2,1,14,0.124,20.1415,Non-active
387,31,2,1,14,0.124,20.1415,Non-active
428,21,2,1,14,0.124,20.1415,Active
386,19,2,1,29,0.195,20.1415,Non-active
421,19,2,1,14,0.124,20.1415,Active
376,22,2,1,39,0.13,21.3228,Non-active
421,20,2,1,17,0.03,21.3228,Active
222,20,2,0,37,0.099,21.3228,Non-active
422,19,2,0,5,0.05,20.1415,Active
422,20,2,1,29,0.195,20.1415,Active
195,22,2,1,29,0.195,20.1415,Non-active
422,20,2,1,17,0.03,21.3228,Active
381,33,2,0,29,0.195,20.1415,Non-active
181,27,2,1,3,0.006,25.8709,Non-active
156,24,2,0,33,0.155,20.1415,Non-active
415,25,2,1,28,0.046,20.1415,Active
415,21,2,1,33,0.155,20.1415,Active
414,19,2,1,33,0.155,20.1415,Active
373,19,2,1,33,0.155,20.1415,Non-active
414,19,2,1,33,0.155,20.1415,Active
414,20,2,1,33,0.155,20.1415,Active
415,27,2,0,14,0.124,20.1415,Active
18,21,2,0,19,0.01,21.3228,Non-active
273,23,2,1,19,0.01,21.3228,Non-active
412,20,2,0,19,0.01,21.3228,Active
412,21,2,1,19,0.01,21.3228,Active
55,30,2,0,14,0.124,20.1415,Non-active
55,22,2,1,33,0.155,20.1415,Non-active
406,23,2,0,33,0.155,20.1415,Active
365,22,2,0,29,0.195,20.1415,Non-active
405,19,2,1,29,0.195,20.1415,Active
52,30,2,0,29,0.195,20.1415,Non-active
405,22,2,1,29,0.195,20.1415,Active
405,20,2,1,5,0.05,20.1415,Active
51,22,2,0,19,0.01,21.3228,Active
164,22,2,1,37,0.099,21.3228,Non-active
399,46,2,1,3,0.006,25.8709,Active
399,20,2,1,29,0.195,20.1415,Active
399,22,2,1,29,0.195,20.1415,Active
144,23,2,0,37,0.099,21.3228,Non-active
386,22,2,0,37,0.099,21.3228,Active
191,22,2,1,33,0.155,20.1415,Non-active
334,31,2,0,33,0.155,20.1415,Active
327,19,0,1,4,0.027,25.8709,Active
322,30,2,0,11,0.096,20.1415,Active
121,18,2,1,14,0.124,20.1415,Non-active
161,23,2,1,14,0.124,20.1415,Non-active
35,27,2,1,30,0.025,25.8709,Active
186,23,1,1,2,0.005,18.29,Non-active
186,22,1,1,2,0.005,18.29,Non-active
172,23,1,1,25,0.004,18.29,Non-active
1351,34,2,0,39,0.13,25.1385,Active
261,44,0,0,16,0.011,55.668,Active
257,20,2,1,33,0.155,20.1415,Active
177,29,2,1,14,0.124,20.1415,Non-active
257,20,2,1,5,0.05,20.1415,Active
257,38,2,1,14,0.124,22.2272,Active
258,32,2,1,33,0.155,20.1415,Active
254,30,0,0,37,0.099,29.6865,Active
242,25,2,1,14,0.124,20.1415,Non-active
167,21,2,1,14,0.124,20.1415,Non-active
246,21,2,1,5,0.05,20.1415,Active
245,27,2,0,37,0.099,21.3228,Active
243,22,2,1,14,0.124,20.1415,Active
197,26,2,0,14,0.124,20.1415,Non-active
41,25,2,0,11,0.096,20.1415,Non-active
236,23,2,0,14,0.124,20.1415,Active
219,29,2,0,11,0.096,20.1415,Active
219,33,1,1,30,0.025,36.1483,Active
216,21,2,1,39,0.13,21.3228,Active
30,40,2,0,17,0.03,29.6865,Active
216,20,2,1,5,0.05,20.1415,Active
215,20,2,1,39,0.13,21.3228,Active
211,21,2,0,39,0.13,21.3228,Active
212,23,2,1,39,0.13,21.3228,Active
212,21,2,1,39,0.13,21.3228,Active
199,22,2,1,39,0.13,21.3228,Non-active
210,19,2,1,37,0.099,21.3228,Active
203,32,0,0,30,0.025,43.0162,Active
198,20,2,1,12,0.005,20.719,Active
2374,30,0,1,14,0.124,26.027,Active
163,21,2,1,5,0.05,21.8659,Active
163,38,1,0,8,0.015,25.1385,Active
156,54,0,0,8,0.015,50.6073,Active
84,26,0,1,24,0.011,28.7178,Non-active
121,23,0,0,15,0.031,18.29,Active
121,23,0,1,15,0.031,18.29,Active
121,22,1,0,42,0.017,18.29,Active
121,23,0,0,41,0.027,18.29,Active
121,22,1,1,9,0.02,18.29,Active
121,22,1,0,9,0.02,18.29,Active
121,22,1,0,20,0.017,18.29,Active
121,23,1,0,42,0.017,18.29,Active
113,27,2,1,15,0.031,25.8709,Active
67,31,2,1,30,0.025,25.8709,Non-active
79,20,1,1,20,0.017,18.29,Active
72,40,0,0,36,0.011,39.3733,Active
69,55,2,0,36,0.011,24.197,Active
70,26,1,1,14,0.124,21.8659,Active
70,27,1,1,33,0.155,21.8659,Active
70,48,2,0,36,0.011,24.197,Active
69,39,2,1,36,0.011,20.1415,Active
69,33,2,1,29,0.195,20.1415,Active
69,18,2,1,29,0.195,20.1415,Active
69,25,2,0,29,0.195,20.1415,Active
65,26,2,0,5,0.05,20.1415,Active
65,19,2,0,29,0.195,20.1415,Active
65,21,2,0,14,0.124,20.1415,Active
65,23,2,1,29,0.195,20.1415,Active
65,21,2,0,17,0.03,21.3228,Active
65,22,2,0,39,0.13,21.3228,Active
65,21,2,0,33,0.155,20.1415,Active
65,22,2,0,37,0.099,21.3228,Active
65,18,2,0,37,0.099,21.3228,Active
65,21,2,0,28,0.046,20.1415,Active
65,50,2,0,36,0.011,24.197,Active
65,21,2,0,29,0.195,20.1415,Active
65,45,2,0,36,0.011,21.8659,Active
61,20,2,0,19,0.01,21.3228,Active
57,20,2,1,29,0.195,20.1415,Active
58,18,2,0,11,0.096,20.1415,Active
55,19,2,1,29,0.195,20.1415,Active
54,21,2,1,33,0.155,20.1415,Active
54,22,2,0,29,0.195,20.1415,Active
54,28,2,1,29,0.195,20.1415,Active
54,20,2,1,29,0.195,20.1415,Active
54,21,2,1,29,0.195,20.1415,Active
54,23,2,1,19,0.01,21.3228,Active
50,20,2,1,39,0.13,21.3228,Active
51,20,2,1,29,0.195,20.1415,Active
50,21,2,0,37,0.099,21.3228,Active
51,26,2,1,37,0.099,21.3228,Active
50,20,2,1,28,0.046,20.1415,Active
50,20,2,1,39,0.13,21.3228,Active
51,22,2,0,37,0.099,21.3228,Active
51,33,2,1,33,0.155,20.1415,Active
51,22,2,0,39,0.13,21.3228,Active
51,20,2,1,29,0.195,20.1415,Active
51,20,2,1,28,0.046,20.1415,Active
51,20,2,1,29,0.195,20.1415,Active
51,23,2,0,1,0.019,20.1415,Active
50,45,2,1,29,0.195,20.1415,Active
48,24,2,1,37,0.099,21.3228,Active
48,27,2,1,39,0.13,21.3228,Active
48,20,2,1,33,0.155,20.1415,Active
30,20,0,0,15,0.031,18.29,Active
48,19,2,1,39,0.13,21.3228,Active
48,19,2,1,1,0.019,20.1415,Active
48,23,2,1,39,0.13,21.3228,Active
47,20,2,1,37,0.099,21.3228,Active
47,21,2,0,29,0.195,20.1415,Active
42,20,2,1,29,0.195,20.1415,Active
41,24,2,1,34,0.005,20.1415,Active
44,28,2,1,11,0.096,20.1415,Active
43,20,2,1,29,0.195,20.1415,Active
44,21,2,1,33,0.155,20.1415,Active
40,21,2,1,39,0.13,21.3228,Active
40,20,2,1,34,0.005,20.1415,Active
429,19,2,1,17,0.03,21.3228,Active
54,56,2,1,36,0.011,20.1415,Active
2995,47,2,1,36,0.011,20.1415,Active
415,28,0,0,17,0.03,29.6865,Active
23,34,2,0,29,0.195,21.8659,Active
22,47,2,1,29,0.195,20.1415,Active
23,24,2,0,38,0.012,25.1385,Active
21,36,2,0,29,0.195,21.8659,Active
16,37,0,1,24,0.011,37.9555,Active
